minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,1,Butyricimonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Cetobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Cloacibacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Clostridium XIVa,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Coprobacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Desulfococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Enterobacter,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Enterococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Eubacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Eubacterium ventriosum group,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Fusobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Gemmiger,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Haemophilus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Holdemania,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Lachnospira,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Lachnospiraceae UCG-001,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Lactobacillus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Lactococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Leptotrichia,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Megamonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Methanobrevibacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Neisseria,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Odoribacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Oribacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Paraprevotella,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Phascolarctobacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Prevotella,increased_in_hcc,retained,2,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":2}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Pyramidobacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Raoultella,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
1,1,Rothia,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",e0a5ad3387907885119e9f4e7f2c91e2fea1d5ad47080fbad6852c4e47f0e077
